gene_name	transcript_name	3	6	8	9	10	13	16	3_pct	6_pct	8_pct	9_pct	10_pct	13_pct	16_pct	p.value	statistic	major_group	p.value.adjusted
A2M	ISOT-54db-bbbc-89c8-eeaa:s9067700:e9115950:NC:FL	1410.46854064986	892.629400255053	787.486052192842	155.537500095128	876.503646867531	460.538301430057	321.501227129841	0.385700568508993	0.360109141484814	0.572783718843017	0.099014218567183	0.341161568933277	0.381445575965651	0.384317163392381	0	2449.07024651842	microglia	0
A2M	ISOT-57c9-6acf-4175-bd35:s9067700:e9115950:NC:FL	112.704164126132	122.820949935341	50.5645769009386	305.572210146297	59.6253587716054	52.6286258731862	12.25996161844	0.0308195886146822	0.0495490590215011	0.0367785134967075	0.19452539474389	0.0232079820995939	0.0435901996557981	0.0146553520636967	0	2449.07024651842	microglia	0
A2M	ISOT-ba22-b067-ebc7-8875:s9067700:e9115950:AP:FL	396.547844035317	380.055367164947	81.5454379490261	639.135170160429	349.568302700547	147.005609171469	92.0677857834516	0.108438241958213	0.153323890012315	0.0593126685521126	0.406869529171637	0.136062492181148	0.121758904930318	0.110056283728658	0	2449.07024651842	microglia	0
A2M	ISOT-ff0c-88bb-e9fe-a931:s9067700:e9080450:EC:FL	1043.35826694241	642.432317807832	283.606878302821	83.6888064374882	805.465753214387	322.714276406309	257.240646383256	0.285312195997531	0.259173348269477	0.206283529710021	0.0532757808705945	0.313511485172605	0.267291412362231	0.30750114520499	0	2449.07024651842	microglia	0
ANXA2	ISOT-1248-cf27-bf6f-0d70:s60347150:e60398000:AP:FL	3691.29237912012	2331.84585939249	988.959186014425	375.183531545512	1789.7166849319	1253.40930824683	474.659543669677	0.274166387219929	0.214602454825338	0.152329036027205	0.256465326085822	0.180814871730227	0.22853724111898	0.237584134873765	0	5559.36122590716	microglia	0
ANXA2	ISOT-44ba-6799-f7ad-a4fd:s60347200:e60398200:DN:FL	3429.13667215023	2222.83984403471	963.211759853331	361.371487329048	1710.73017738442	1173.29003700162	468.065694627505	0.254695081322954	0.204570505932883	0.148363169019986	0.247023785810067	0.172834873917803	0.213928894834673	0.234283676806365	0	5559.36122590716	microglia	0
ANXA2	ISOT-4b56-1e8d-6e7a-1c04:s60347300:e60398200:DN:FL	3832.86563046278	2441.37719255857	964.375334013558	380.000430470623	1769.39855187909	1232.9276818693	484.520150481427	0.284681573463952	0.224682749319528	0.148542393939154	0.259758028056141	0.178762133074623	0.224802775166674	0.242519722433193	0	5559.36122590716	microglia	0
ANXA2	ISOT-bb51-e348-85ab-2060:s60347300:e60398200:AP:FL	424.883321223788	2317.75118371689	2501.2962709463	117.244130612369	3314.95686284614	1083.54858268589	270.443715859469	0.0315577074925984	0.213305305621515	0.385273785976175	0.0801449201815574	0.334909712242846	0.197566111944534	0.135366784722721	0	5559.36122590716	microglia	0
ANXA2	ISOT-ddc7-5411-b1ae-18fa:s60347300:e60398000:AP:FL	1363.44936650563	826.17808183719	283.646140102304	92.410603998679	518.808589867245	405.648116939955	148.846788078647	0.101268593375758	0.0760341185378958	0.0436899153227456	0.0631693922989636	0.0524151724232016	0.0739628315352436	0.074503158834649	0	5559.36122590716	microglia	0
CD14	ISOT-10e1-7869-d725-f8cc:s140631700:e140633200:AP:FL	26284.6208502809	16372.4963413659	7759.07679651111	1735.3342755563	1020.28997091939	8034.4010235468	2333.81047837546	0.819959472494415	0.806090115768101	0.657381750106847	0.829113366247635	0.759144323600739	0.793442724031878	0.782632621856292	0	1865.1478982221	microglia	0
